_id,Waktu,Harga Penutupan (USD)
6746f698c8fc5b6acaad401e,2024-11-20 19:50,94126.31
6746f698c8fc5b6acaad401d,2024-11-20 20:00,94159.75
6746f698c8fc5b6acaad401c,2024-11-20 20:10,94170.34
6746f698c8fc5b6acaad401b,2024-11-20 20:20,94291.35
6746f698c8fc5b6acaad401a,2024-11-20 20:30,94669.05
6746f698c8fc5b6acaad4019,2024-11-20 20:40,94447.64
6746f698c8fc5b6acaad4018,2024-11-20 20:50,94370.9
6746f698c8fc5b6acaad4017,2024-11-20 21:00,94224
6746f698c8fc5b6acaad4016,2024-11-20 21:10,94318.43
6746f698c8fc5b6acaad4015,2024-11-20 21:20,94250.4
6746f698c8fc5b6acaad4014,2024-11-20 21:30,94500.88
6746f698c8fc5b6acaad4013,2024-11-20 21:40,94503.21
6746f698c8fc5b6acaad4012,2024-11-20 21:50,94450.81
6746f698c8fc5b6acaad4011,2024-11-20 22:00,94435.32
6746f698c8fc5b6acaad4010,2024-11-20 22:10,94412.84
6746f698c8fc5b6acaad400f,2024-11-20 22:20,94242.38
6746f698c8fc5b6acaad400e,2024-11-20 22:30,94205.82
6746f698c8fc5b6acaad400d,2024-11-20 22:40,94230.34
6746f698c8fc5b6acaad400c,2024-11-20 22:50,94247.66
6746f698c8fc5b6acaad400b,2024-11-20 23:00,94198.38
6746f698c8fc5b6acaad400a,2024-11-20 23:10,93976.59
6746f698c8fc5b6acaad4009,2024-11-20 23:20,94065.95
6746f698c8fc5b6acaad4008,2024-11-20 23:30,94161.14
6746f698c8fc5b6acaad4007,2024-11-20 23:40,94192.23
6746f698c8fc5b6acaad4006,2024-11-20 23:50,94379.92
6746f698c8fc5b6acaad4005,2024-11-21 0:00,94363.02
6746f698c8fc5b6acaad4004,2024-11-21 0:10,94466.14
6746f698c8fc5b6acaad4003,2024-11-21 0:20,94925.8
6746f698c8fc5b6acaad4002,2024-11-21 0:30,94909.81
6746f698c8fc5b6acaad4001,2024-11-21 0:40,94960.07
6746f698c8fc5b6acaad4000,2024-11-21 0:50,94807.87
6746f698c8fc5b6acaad3fff,2024-11-21 1:00,94910.03
6746f698c8fc5b6acaad3ffe,2024-11-21 1:10,94960.66
6746f698c8fc5b6acaad3ffd,2024-11-21 1:20,94983.96
6746f698c8fc5b6acaad3ffc,2024-11-21 1:30,94792.45
