_id,Waktu,Harga Penutupan (USD)
6741921b0181b4e6dc1174ec,2024-11-22 9:10,98743.06
6741921b0181b4e6dc1174ed,2024-11-22 9:20,98553.9
6741921b0181b4e6dc1174ee,2024-11-22 9:30,98653.19
6741921b0181b4e6dc1174ef,2024-11-22 9:40,98708.84
6741921b0181b4e6dc1174f0,2024-11-22 9:50,98792.25
6741921b0181b4e6dc1174f1,2024-11-22 10:00,98670.25
6741921b0181b4e6dc1174f2,2024-11-22 10:10,98550.5
6741921b0181b4e6dc1174f3,2024-11-22 10:20,98451.85
6741921b0181b4e6dc1174f4,2024-11-22 10:30,98544.37
6741921b0181b4e6dc1174f5,2024-11-22 10:40,98362.29
6741921b0181b4e6dc1174f6,2024-11-22 10:50,98451.62
6741921b0181b4e6dc1174f7,2024-11-22 11:00,98599.02
6741921b0181b4e6dc1174f8,2024-11-22 11:10,98688.43
6741921b0181b4e6dc1174f9,2024-11-22 11:20,98778.76
6741921b0181b4e6dc1174fa,2024-11-22 11:30,98907.2
6741921b0181b4e6dc1174fb,2024-11-22 11:40,98852.74
6741921b0181b4e6dc1174fc,2024-11-22 11:50,98955.64
6741921b0181b4e6dc1174fd,2024-11-22 12:00,98861.27
6741921b0181b4e6dc1174fe,2024-11-22 12:10,98761.89
6741921b0181b4e6dc1174ff,2024-11-22 12:20,98812.49
6741921b0181b4e6dc117500,2024-11-22 12:30,98795.62
6741921b0181b4e6dc117501,2024-11-22 12:40,98812.89
6741921b0181b4e6dc117502,2024-11-22 12:50,98719.75
6741921b0181b4e6dc117503,2024-11-22 13:00,98612.11
6741921b0181b4e6dc117504,2024-11-22 13:10,98084.14
6741921b0181b4e6dc117505,2024-11-22 13:20,97700.93
6741921b0181b4e6dc117506,2024-11-22 13:30,98020.56
6741921b0181b4e6dc117507,2024-11-22 13:40,97973.44
6741921b0181b4e6dc117508,2024-11-22 13:50,97843.54
6741921b0181b4e6dc117509,2024-11-22 14:00,98139.05
6741921b0181b4e6dc11750a,2024-11-22 14:10,97817.13
6741921b0181b4e6dc11750b,2024-11-22 14:20,97726.66
6741921b0181b4e6dc11750c,2024-11-22 14:30,97564.62
6741921b0181b4e6dc11750d,2024-11-22 14:40,97479.02
6741921b0181b4e6dc11750e,2024-11-22 14:50,97365.62
6741921b0181b4e6dc11750f,2024-11-22 15:00,97955.63
6741921b0181b4e6dc117510,2024-11-22 15:10,98324.09
6741921b0181b4e6dc117511,2024-11-22 15:20,98407.19
6741921b0181b4e6dc117512,2024-11-22 15:30,98699.37
6741921b0181b4e6dc117513,2024-11-22 15:40,98808.94
6741921b0181b4e6dc117514,2024-11-22 15:50,98810.19
6741921b0181b4e6dc117515,2024-11-22 16:00,98388.88
6741921b0181b4e6dc117516,2024-11-22 16:10,98527.22
6741921b0181b4e6dc117517,2024-11-22 16:20,98653.97
6741921b0181b4e6dc117518,2024-11-22 16:30,98870.49
6741921b0181b4e6dc117519,2024-11-22 16:40,98892.84
6741921b0181b4e6dc11751a,2024-11-22 16:50,98992.03
6741921b0181b4e6dc11751b,2024-11-22 17:00,98951.63
674192ea030b5e359465fdd0,2024-11-23 8:31,98386.10767
67419543030b5e359465fdd1,2024-11-23 8:41,98405.30708
6741970f0181b4e6dc11751d,2024-11-23 8:20,98491.84
6741970f0181b4e6dc11751e,2024-11-23 8:10,98603.01
6741970f0181b4e6dc11751f,2024-11-23 8:00,98589.68
6741970f0181b4e6dc117520,2024-11-23 7:50,98672.15
6741970f0181b4e6dc117521,2024-11-23 7:40,98600.49
6741970f0181b4e6dc117522,2024-11-23 7:30,98533.79
6741970f0181b4e6dc117523,2024-11-23 7:20,98720.02
6741970f0181b4e6dc117524,2024-11-23 7:10,98812.93
6741970f0181b4e6dc117525,2024-11-23 7:00,98797.19
6741970f0181b4e6dc117526,2024-11-23 6:50,98813.22
6741970f0181b4e6dc117527,2024-11-23 6:40,98904.33
6741970f0181b4e6dc117528,2024-11-23 6:30,98864.99
6741970f0181b4e6dc117529,2024-11-23 6:20,98751.04
6741970f0181b4e6dc11752a,2024-11-23 6:10,98775.27
6741970f0181b4e6dc11752b,2024-11-23 6:00,98812.93
6741970f0181b4e6dc11752c,2024-11-23 5:50,98854.03
6741970f0181b4e6dc11752d,2024-11-23 5:40,98841.99
6741970f0181b4e6dc11752e,2024-11-23 5:30,98683.06
6741970f0181b4e6dc11752f,2024-11-23 5:20,98589.34
